
НД: 200000
Функция (реализация);Время;;;Sp(n);;;Ep(n);;;Cp(n);;;
;2;3;4;2;3;4;2;3;4;2;3;4;
Параллельное заполнение Последоватьное суммирование Последоватьный подсчет суммы ;19.1988п2;14.6066п3;12.5096п4;
Параллельное заполнение Последоватьное суммирование Параллельный (с редукторами) подсчет суммы ;18.0984п2;13.0625п3;10.7682п4;
Параллельное заполнение Последоватьное суммирование Параллельный (с крит. секциями) подсчет суммы ;55.1223п2;82.9394п3;102.9527п4;
Параллельное заполнение Параллельное суммирование с for Последоватьный подсчет суммы ;18.1365п2;13.2218п3;11.0636п4;
Параллельное заполнение Параллельное суммирование с for Параллельный (с редукторами) подсчет суммы ;17.0980п2;11.6692п3;9.4206п4;
Параллельное заполнение Параллельное суммирование с for Параллельный (с крит. секциями) подсчет суммы ;54.6154п2;80.2424п3;105.2385п4;
Параллельное заполнение Параллельное суммирование с sections Последоватьный подсчет суммы ;19.2219п2;14.4291п3;12.4043п4;
Параллельное заполнение Параллельное суммирование с sections Параллельный (с редукторами) подсчет суммы ;18.1150п2;12.9462п3;10.7184п4;
Параллельное заполнение Параллельное суммирование с sections Параллельный (с крит. секциями) подсчет суммы ;54.8301п2;81.0826п3;107.5103п4;

НД: 1000000
Функция (реализация);Время;;;Sp(n);;;Ep(n);;;Cp(n);;;
;2;3;4;2;3;4;2;3;4;2;3;4;
Последоватьное заполнение Последоватьное суммирование Последоватьный подсчет суммы ;44.0365п2;44.2142п3;44.3913п4;
Последоватьное заполнение Последоватьное суммирование Параллельный (с редукторами) подсчет суммы ;42.7096п2;42.3515п3;42.3587п4;
Последоватьное заполнение Последоватьное суммирование Параллельный (с крит. секциями) подсчет суммы ;90.9016п2;138.4241п3;169.0346п4;
Последоватьное заполнение Параллельное суммирование с for Последоватьный подсчет суммы ;42.8066п2;42.8429п3;43.0356п4;
Последоватьное заполнение Параллельное суммирование с for Параллельный (с редукторами) подсчет суммы ;41.3092п2;40.8078п3;40.7630п4;
Последоватьное заполнение Параллельное суммирование с for Параллельный (с крит. секциями) подсчет суммы ;89.4008п2;136.9602п3;170.2480п4;
